p20,variable,type,value,filename,iso3,survey_year
FALSE,stunting,denominator,,bfhr21dt,BFA,1993
TRUE,registration,statistic,,bfhr21dt,BFA,1993
TRUE,registration,numerator,,bfhr21dt,BFA,1993
TRUE,registration,denominator,,bfhr21dt,BFA,1993
FALSE,registration,statistic,,bfhr21dt,BFA,1993
FALSE,registration,numerator,,bfhr21dt,BFA,1993
FALSE,registration,denominator,,bfhr21dt,BFA,1993
TRUE,mortality,statistic,0.174607957718365,bfhr31dt,BFA,1999
TRUE,mortality,numerator,16.0575955,bfhr31dt,BFA,1999
TRUE,mortality,denominator,91.9637095,bfhr31dt,BFA,1999
FALSE,mortality,statistic,0.197735946481066,bfhr31dt,BFA,1999
FALSE,mortality,numerator,2860.50256,bfhr31dt,BFA,1999
FALSE,mortality,denominator,14466.274903,bfhr31dt,BFA,1999
TRUE,stunting,statistic,,bfhr31dt,BFA,1999
TRUE,stunting,numerator,,bfhr31dt,BFA,1999
TRUE,stunting,denominator,,bfhr31dt,BFA,1999
FALSE,stunting,statistic,,bfhr31dt,BFA,1999
FALSE,stunting,numerator,,bfhr31dt,BFA,1999
FALSE,stunting,denominator,,bfhr31dt,BFA,1999
TRUE,registration,statistic,,bfhr31dt,BFA,1999
TRUE,registration,numerator,,bfhr31dt,BFA,1999
TRUE,registration,denominator,,bfhr31dt,BFA,1999
FALSE,registration,statistic,,bfhr31dt,BFA,1999
FALSE,registration,numerator,,bfhr31dt,BFA,1999
FALSE,registration,denominator,,bfhr31dt,BFA,1999
TRUE,mortality,statistic,,bfhr43dt,BFA,2002
TRUE,mortality,numerator,,bfhr43dt,BFA,2002
TRUE,mortality,denominator,,bfhr43dt,BFA,2002
FALSE,mortality,statistic,0.171424155658268,bfhr43dt,BFA,2002
FALSE,mortality,numerator,4376.923929,bfhr43dt,BFA,2002
FALSE,mortality,denominator,25532.713941,bfhr43dt,BFA,2002
TRUE,stunting,statistic,,bfhr43dt,BFA,2002
TRUE,stunting,numerator,,bfhr43dt,BFA,2002
TRUE,stunting,denominator,,bfhr43dt,BFA,2002
FALSE,stunting,statistic,,bfhr43dt,BFA,2002
FALSE,stunting,numerator,,bfhr43dt,BFA,2002
FALSE,stunting,denominator,,bfhr43dt,BFA,2002
TRUE,registration,statistic,,bfhr43dt,BFA,2002
TRUE,registration,numerator,,bfhr43dt,BFA,2002
TRUE,registration,denominator,,bfhr43dt,BFA,2002
FALSE,registration,statistic,,bfhr43dt,BFA,2002
FALSE,registration,numerator,,bfhr43dt,BFA,2002
FALSE,registration,denominator,,bfhr43dt,BFA,2002
TRUE,mortality,statistic,0.113938792694644,bfhr62dt,BFA,2011
TRUE,mortality,numerator,32.0581325,bfhr62dt,BFA,2011
TRUE,mortality,denominator,281.362754,bfhr62dt,BFA,2011
FALSE,mortality,statistic,0.134407557658099,bfhr62dt,BFA,2011
FALSE,mortality,numerator,4767.476676,bfhr62dt,BFA,2011
FALSE,mortality,denominator,35470.30211,bfhr62dt,BFA,2011
TRUE,stunting,statistic,0.392562333515854,bfhr62dt,BFA,2011
TRUE,stunting,numerator,18.550484,bfhr62dt,BFA,2011
TRUE,stunting,denominator,47.254875,bfhr62dt,BFA,2011
FALSE,stunting,statistic,0.347805574055774,bfhr62dt,BFA,2011
FALSE,stunting,numerator,2437.126295,bfhr62dt,BFA,2011
FALSE,stunting,denominator,7007.151342,bfhr62dt,BFA,2011
TRUE,registration,statistic,0.458091592807268,bfhr62dt,BFA,2011
